問題No,難易度,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,コメント
B-68,B,"総会の終了時刻は誰が設定するか？","執行委員長","総会議長","出席者の多数決","前回の総会で決定する",2,"総会に関する細則 第6条に「議長はあらかじめ総会の終了時刻を設定しなければならない」とあります。"
B-69,B,"学友会員が休学申請を行う際、提示する休学願の控えは、どこで発行されるものか？","学友会","本学教務課","所属する学科の事務室","保健管理センター",2,"学友会員の権利における細則 第2条に「本学教務課に休学申請を行い、その際発行される休学願の控え」とあります。"
B-70,B,"第19回総会議案で、サークル援助金の申請のためにサークルが提出する資料として、正しくないものはどれか？","援助金希望項目","援助金希望項目に関する領収書","前年度部員名簿","次年度の予算案",4,"第19回総会議案の本文3に提出資料が列挙されていますが、「次年度の予算案」は含まれていません。"
B-71,B,"会計委員会の監査報告を元に、個々の公認サークルへの援助金支給額の議決を行うのはどこか？","総会","執行委員会","会計委員会","サークル代表者会議",4,"サークルに関する細則 第17条に「サークル代表者会議での議決をもって決定とする」とあります。"
B-72,B,"第55回総会で音楽協議会が解体された結果、会則の条文はどうなったか？","関連条文が「無効」と追記された。","関連条文が削除され、以降の条文が繰り上げられた。","関連条文はそのまま残された。","関連条文が「参考」として残された。",2,"第55回総会議案の議案内容に「第21条を無効として削除し、…第22条を第21条へと繰り上げる」とあります。"
B-73,B,"サークル代表者会議の議決は、どの程度の賛成で可決されるか？","出席サークル数の三分の二以上","出席サークル数の過半数","全公認サークル数の過半数","全公認・準公認サークル数の過半数",2,"サークルに関する細則 第11条に「出席サークル数の過半数で可決される」とあります。"
B-74,B,"学友会が所有する備品のうち、「耐久消費財」と見なされる条件として、議案に挙げられていないものはどれか？","特別費や予備費で購入された","想定耐用年数が1年以上","金額が比較的高額","海外製であること",4,"第42回総会議案の1-1に条件が列挙されていますが、「海外製であること」は含まれません。"
B-75,B,"執行委員会が、議案の提出締切日を公示する際に含めなければならない情報でないものはどれか？","議案の提出締切日","議案の提出場所","議案の受付時間","議案のフォーマット見本",4,"総会に関する細則 第17条に公示内容が列挙されていますが、「議案のフォーマット見本」は必須とされていません。"
B-76,B,"総会に関する細則（第36回総会）の施行年月日はいつか？","平成16年6月1日","平成19年5月24日","平成27年4月1日","平成29年12月1日",2,"総会に関する細則 第24条に「この細則は、平成十九年五月二十四日より施行する」とあります。"
B-77,B,"第42回総会の議案で、耐久消費財のリストの書き方として定められていない項目はどれか？","購入年度","物品の名称","購入金額","主な使用場所あるいは保管場所",3,"第42回総会議案の3にリストの項目が列挙されていますが、「購入金額」は必須項目として挙げられていません。"
B-78,B,"サークルが準公認を辞退した場合、その事実はどこで報告されるか？","学友会誌「群青」","サークル代表者会議","総会","学内の掲示板",3,"サークルに関する細則 第6条に「辞退する場合は総会でその旨を報告する」とあります。"
B-79,B,"総会の議事録の保存版を破棄できるのはどのような場合か？","6年の保管期間が過ぎた場合","執行委員会が不要と判断した場合","それに代わるものが認められるときのみ","いかなる場合も破棄できない",3,"第34回総会議案の本文に「保存版を破棄する際はそれに代わるものが認められるときのみとする」とあります。"
B-80,B,"学友会の機関のうち、その詳細が基本則第5章で定められている特別な機関はどれか？","執行委員会","会計委員会","調布祭実行委員会","ネットワーク管理委員会",2,"基本則 第16条2項に「各機関についての詳細は、会計委員会については第５章で…定める」とあります。"
B-81,B,"「使途不明金の発生した機関は、発生した金額と考えられる原因を会計委員長に報告しなければならない」というルールで、報告する内容に含まれていないのはどれか？","発生した金額","考えられる原因","改善策の提案","報告者の氏名",3,"第20回総会議案の本文2では「発生した金額と考えられる原因」の報告を義務付けていますが、「改善策の提案」は次の段階の話し合いで議論されます。"
B-82,B,"総会で審議される予算に計上される「収入予算」とは何か？","会計年度の実際の収入額","全ての収入項目に対する見積り","会費収入のみの見積り","前年度の収入実績",2,"第17回総会議案の6.2に「収入予算とは、本会の全ての収入項目に対する見積りである」と定義されています。"
B-83,B,"サークル代表者会議議長団の選出方法として正しいものはどれか？","総会で任命される","執行委員長が指名する","サークル代表者会議によって選出、任命される","立候補者による選挙で決まる",3,"サークルに関する細則 第9条に「サークル代表者会議によって選出、任命され」とあります。"
B-84,B,"学友会員が会員でいるための前提条件は何か？","日本国籍を有すること","20歳以上であること","本学の学士課程の学生であること","サークルに所属していること",3,"基本則 第3条に「本会の会員であるには本学の学士課程の学生であることを必要とする」とあります。"
B-85,B,"第19回総会議案によると、サークル援助金決定の最初のステップは何か？","サークルが会計委員会に資料を提出する。","サークルがまず自ら資金を集めて1年間活動する。","会計委員会が援助可能な項目の基準を示す。","サークル代表者会議で折衝係を選ぶ。",2,"第19回総会議案の本文1に「サークルはまず自ら活動資金を集めて1年間の活動を行なう」とあり、これが援助金申請の前提となっています。"
B-86,B,"第17回総会の議案補足で、失効することになった第16回総会の議案名は何ですか？","学友会決算報告の承認に関する決議","本会の予算及び決算の原則に関する決議","サークル援助金配布方法に関する議案","高額耐久消費財に関する議案",2,"第17回総会議案の補足に明記されています。"
B-87,B,"耐久消費財を破棄する際に費用がかかった場合、その費用は原則としてどこから支出されるか？","当該機関の予算から","予備費から","会計委員長のポケットマネーから","支出は認められない",2,"第42回総会議案の6に「原則として予備費より執行する」とあります。"
B-88,B,"会計資金の確認記録の保管義務を負うのは誰か？","会計委員長","執行委員長","手続きを行った担当者","全機関の長",3,"第16回総会議案の本文に「手続きを行なった担当者は、これを確認した記録を少なくとも1年間保管すること」とあります。"
B-89,B,"総会の有効決議録の公開について、正しい記述はどれか？","原則として公開されない","執行委員会の判断で公開される","学友会員の要求があった時は可能な限り速やかに公開しなければならない","年に一度、まとめて公開される",3,"総会に関する細則 第23条に明記されています。"
B-90,B,"サークルに関する細則第5条の2で定められた「準公認格下げ」の決定は、どこで行われるか？","執行委員会","会計委員会","サークル代表者会議","総会",4,"サークルに関する細則 第5条の2に「なお、この準公認格下げは総会で決する」とあります。"
B-91,B,"第1回総会から第7回総会までの可決議案のうち、失効の対象外とされた議案の記録・資料はどう扱われるか？","破棄する","非公開で保管する","保存し、要請があれば会員に提示しなければならない","要約して保管する",3,"第23回総会議案の本文のただし書きに明記されています。"
B-92,B,"サークル代表者会議の議長が罷免された後、必要ならば何をすることができるか？","罷免された議長の任期中の決定を全て自動的に無効とする。","罷免された議長の任期中の決定を無効とし再び議決を取り直すことができる。","罷免された議長を再任することができる。","執行委員会に会議の運営を委託する。",2,"第21回総会議案「議長の罷免」に「必要ならば…再び議決を取り直すことが出来る」とあります。"
B-93,B,"耐久消費財の購入・修理・廃棄で予備費から支出される金額の根拠となるものは何か？","担当者の申告","見積書","正式な領収書","ネット通販のスクリーンショット",3,"第42回総会議案の9に「正式な領収書のみを参考とする」とあります。"
B-94,B,"学友会費に関する細則（第58回総会改正）の改正日はいつか？","平成27年4月1日","平成29年6月1日","平成29年12月1日","平成30年6月1日",4,"学友会費に関する細則 第2条の附則に「平成三十年六月一日一部改正」とあります。"
B-95,B,"総会の場で議案を提出する際、書面に記載が必要な5つの項目のうち、「本文」の他に含まれるものはどれか？","議案名、提出者、主旨、提出理由","議案名、提出者、日付、連絡先","議案名、要約、背景、予算","議案名、提出者、審議時間、賛同者",1,"第12回総会議案の本文に「議案名」「提出者」「本文」「主旨」「提出理由」の5つが列挙されています。"
B-96,B,"第42回総会の議案の成立と同時に失効した議案が可決されたのは、第何回総会か？","第17回と第20回","第18回と第21回","第20回と第22回","第21回と第23回",3,"第42回総会議案の末尾に「第20会で可決された…」および「第22会で可決された…」とあります。"
B-97,B,"総会に関する細則で、委任状の有効期限はどのように定められているか？","発行から1年間","その委任状に記載のある総会に限り有効","次の定期総会まで有効","取り下げられるまで永久に有効",2,"総会に関する細則 第15条に明記されています。"
B-98,B,"総会で審議される決算に計上される7つの項目のうち、予算には計上されない項目はどれか？","本予算","前年度繰越額","総収入額","次年度繰越額",4,"第17回総会議案の6（予算）と7（決算）を比較すると、「次年度繰越額」は決算のみの項目であることがわかります。"
B-99,B,"執行委員会が会計委員会の管理する資金の運営状況を確認する頻度は、会計年度中に少なくとも何回か？","1回","2回","3回","4回",3,"第16回総会議案の本文に「同様に、執行委員会は定期的に会計委員会の管理する資金の運営状況を確認する。これらは会計年度中に少なくとも3回おこなう」とあります。"
B-100,B,"第57回総会の議案で改正された基本則第3条が施行されたのはいつか？","平成16年6月1日","平成29年6月1日","平成29年12月1日","可決と同時",3,"第57回総会議案の附則に「平成二十九年十二月一日一部改正」とあり、補足で効力発揮日も同日とされています。"
A-1,A,"以下のうち、総会の承認ではなく「各機関の長の承認」で任命される役職はどれか？","執行委員長","副執行委員長","会計委員長","総会議長",3,"基本則第18条で会計委員長は「執行委員長の指名に基づき、各機関の長の承認」と定められています。他の役職は総会の承認が必要です。役職ごとの任命プロセスの違いを問う問題です。"
A-2,A,"承認を受けずに購入した耐久消費財が後に故障した場合、その修理費について正しい記述はどれか？","事後であっても会計委員長の承認を得れば予備費から支出できる。","総会で特別に承認されれば予備費から支出できる。","理由を明示すれば執行委員長の承認で予備費から支出できる。","予備費からの執行は一切行われない。",4,"第42回総会議案の4に「承認を受けなかった耐久消費財のその後の修理、廃棄に関しても同様に予備費からの執行は行わない」という厳しい規定があります。この「その後の」という部分を正確に読み取れるかが鍵です。"
A-3,A,"「本年度経費は、本年度予算の成立以前に支出してはならない」という原則があります。しかし、ある支出は予算成立前でも可能な場合があります。それは何か？","前年度からの継続事業費","緊急の修繕費","執行委員長の判断による予備費の支出","本文書にはそのような例外は明記されていない",3,"第17回総会議案の本文3の原則と、同議案の6.5および基本則第22条の「予備費」の規定を組み合わせる必要があります。予備費は「不測の事態」に対応するため、予算成立を待たずに支出される可能性があると推論できます。"
A-4,A,"第23回総会の議案により、第1回から第7回総会までの議案の多くが失効しましたが、その中でも例外的に有効とされた議案の種類は何か？","予算・決算に関する議案","サークル公認に関する議案","本会会則の基本則及び細則に関する議案","役員任命に関する議案",3,"第23回総会議案の本文2に「現行の会則をそのまま執行するという形において有効とする」という例外規定があります。失効の原則とその例外を問う問題です。"
A-5,A,"サークル代表者会議が定足数不足で開けず、後日投票で議決する際の可決条件と成立条件の組み合わせで正しいものはどれか？","可決：投票者の過半数、成立：全代表者の過半数の投票","可決：サークル代表者数の過半数、成立：有効投票数が全代表者数の三分の二以上","可決：全代表者の過半数、成立：有効投票数が定足数以上","可決：全代表者の三分の二以上、成立：全代表者の過半数の投票",2,"第21回総会議案「サークル代表者会議における投票」の条文「投票はサークル代表者数の過半数でこれを決し」「有効投票数がサークル代表者数の三分の二以上でなければ無効とする」を正確に組み合わせる必要があります。「可決」と「成立（有効）」の条件を混同しやすいです。"
A-6,A,"予備費の支出について、基本則と第17回総会議案の説明を総合すると、どのような手続きが必要か？","会計委員長が承認し、執行委員長が支出。支出後に総会で報告/承認。","執行委員長が判断し支出し、支出後に会計委員長と総会に報告。","総会で事前に承認を得てから、執行委員長が支出する。","会計委員長が判断し支出し、執行委員長に事後報告する。",1,"基本則第22条「会計委員長が承認し執行委員長が支出する」と、第17回総会議案6.5「執行委員長の判断のもとで支出」は一見矛盾しますが、基本則が上位規範であり、より詳細な議案の「執行委員長の判断」は会計委員長の承認を得た上での最終判断と解釈するのが妥当です。よって基本プロセスは「会計委員長承認→執行委員長支出→総会報告/承認」となります。"
A-7,A,"ある公認サークルの構成員が6人になったが、そのうち学友会員が4人しかいなかった。このサークルはどうなるか？","ただちに公認を取り消される。","総会で準公認への格下げが決される対象となる。","構成員が5人未満でないため、何の問題もない。","構成員全員が学友会員でないため、格下げの例外には当たらない。",2,"サークルに関する細則第5条の2「学友会員が5人以上在籍していない場合は準公認に格下げとなる」に該当します。また、ただし書きの「構成員が5人未満」の条件にも当てはまらないため、格下げの対象となります。複数の条件を正確に適用できるかが問われます。"
A-8,A,"1991年度の使途不明金処理において、返還金と共に発生した郵便口座の利息58円はどのように処理されたか？","返還金と共に学友会費にとどめられた。","当時の会計委員長に返還された。","当該年度の雑収入に組み込まれた。","不明金として処理された。",3,"第20回総会の非常に細かい議案内容を記憶しているかを問う、高難易度の知識問題です。本体の20,000円の処理と利息の処理の違いがポイントです。"
A-9,A,"総会の議事録と有効決議録の保管について、正しい記述はどれか？","どちらも6年間保管される。","議事録は6年間、有効決議録は決議が削除されない限り保管される。","議事録は永久保管、有効決議録は10年間保管される。","どちらも決議が削除されない限り保管される。",2,"総会に関する細則 第22条（議事録）と第23条（有効決議録）の保管期間の違いを明確に区別できるか問う問題です。"
A-10,A,"第34回総会で制定された「総会の議事録の保管方法及び公表に関する議案」により失効した同名の議案が可決されたのは、第何回総会か？","第12回総会","第20回総会","第23回総会","第29回総会",3,"第34回総会議案の末尾に「第23回総会において可決した『総会の議事録の保存方法及び公表に関する議案』は失効する」とあります。議案の新旧関係を正確に追跡できているか問う問題です。"
A-11,A,"総会の定足数（会員の十分の一）と、基本則改正の可決要件（会員の五分の一超）の関係について、正しい記述はどれか？","定足数を満たしてさえいれば、出席者の賛成で基本則を改正できる。","基本則改正には、定足数の倍以上の会員の賛成が必要になる場合がある。","総会に出席していなくても、委任状によって基本則改正に賛成の意思を示すことができる。","基本則改正は定足数とは無関係に行われる。",2,"定足数は「開催」の要件、可決要件は「議決」の要件です。例えば会員1000人の場合、定足数は100人ですが、基本則改正には201人以上の賛成が必要です。この2つの基準の違いを理解しているか問います。"
A-12,A,"第19回総会の「サークル援助金決定方法」と第21回総会の「サークル代表者会議に関する補則」を総合すると、援助金が0円になる可能性があるのはどのようなサークルか？","会計委員会に領収書を提出しなかったサークル。","前年度の活動報告が不十分なサークル。","議長への連絡無く代表者会議を欠席したサークル。","援助金の希望額が著しく高いサークル。",3,"第19回総会の議案は援助金算出のプロセスを定めていますが、0円にするという直接の罰則規定はありません。一方、第21回総会の議案には欠席等に対する罰則として0円にできる規定があります。異なる議案の情報を結びつける必要があります。"
A-13,A,"サークル代表者会議の議長が罷免された場合、その後どうなるかについて、規則に書かれていないことはどれか？","速やかに次の議長を選び出す。","罷免された議長の任期中の決定を無効にできる。","罷免された議長は学友会員の資格を失う。","罷免された議長の任期中の決定を再議決できる。",3,"第21回総会議案「議長の罷免」に書かれている内容を問う問題です。議長罷免後の手続きは詳細に書かれていますが、会員資格の剥奪については一切触れられていません。"
A-14,A,"「執行委員会は、録音したものを元に議事録を冊子として作成する。このとき、意味のない言葉を除き発言の内容はすべて記録する」という規定から、どのような編集方針が読み取れるか？","発言の要約を作成する。","発言の順序を整理して記録する。","発言を逐語的に、ただし無意味な間投詞などを省いて記録する。","発言者の氏名を伏せて記録する。",3,"「意味のない言葉を除き」「発言の内容はすべて記録する」という2つの部分から、逐語録に近いが、完全な逐語録ではないという微妙なニュアンスを読み解く必要があります。"
A-15,A,"第42回総会で可決された「耐久消費財に関する議案」は、過去の「高額耐久消費財に関する議案」を失効させている。この2つの議案名の違いから、どのようなルールの変更があったと推測できるか？","対象がPCやプリンタに限定された。","対象が高額なものだけでなく、機関が重要と考えるものにも拡大された。","管理責任者が会計委員長に一元化された。","紛失時の罰則が強化された。",2,"「高額」という文言が消えている点に着目します。実際の条文（1-2）でも「各機関が耐久消費財と考え、会計委員長が適切と判断したもの」も対象に含めており、名称の変更がルールの変更を反映していることを読み取れるかが問われます。"
A-16,A,"「会計委員会は定期的に本会の全ての資金の運営状況を確認する」と「執行委員会は定期的に会計委員会の管理する資金の運営状況を確認する」という二重のチェック体制が定められている。この体制の目的として最も考えられるものは何か？","業務の効率化","会計委員会の権限強化","相互牽制による不正防止と透明性の確保","執行委員会の会計への関与",3,"第16回総会議案の条文から、二重チェック体制の意図を推論する問題です。これは明記されていませんが、組織論の常識と条文の構造から不正防止が目的であると考えるのが最も妥当です。"
A-17,A,"「本会の総収入額は総支出額と総内部留保額を足した額に一致しなければならない」という会計原則（第17回総会議案6.6）は何を意味するか？","収入と支出は常に同額でなければならない（黒字・赤字は許されない）。","収入の全てが、その年度の支出か、将来のための内部留保のどちらかに割り振られなければならない。","内部留保は、総収入から総支出を引いた残額として自動的に決まる。","収入は支出と内部留保の合計よりも多くなければならない。",2,"この会計等式は、資金の使途がすべて計画（予算）に計上されることを要求するものです。会計の知識と条文の正確な読解が求められます。"
A-18,A,"サークル援助金の決定プロセスにおいて、会計委員会とサークル代表者会議の役割分担として正しいものはどれか？","会計委員会が金額を査定し、サークル代表者会議が承認する。","会計委員会が基準や上限を示し、サークル代表者会議が各サークルへの配分を決定する。","サークル代表者会議が希望額をまとめ、会計委員会が最終決定する。","両者が合同で会議を開き、金額を決定する。",2,"第19回総会議案のプロセス全体を俯瞰し、2つの組織の役割を正確に切り分ける必要があります。会計委員会は監査・基準設定役、代表者会議は実質的な配分決定役という関係性を理解しているかが問われます。"
A-19,A,"「総会における議案提出及び修正方法に関する議案」（第12回総会）と、「総会に関する細則」（第36回総会）を比較したとき、議案の提出に関してどのような変更があったか？","口頭での提出が認められるようになった。","総会当日の議案提出が明確に禁止された。","提出に必要な記載事項が大幅に簡略化された。","議案提出が執行委員会への事前提出制になった。",4,"第12回総会の議案では「総会議長に対して書面による提出」とあり、総会当日の提出を前提としています。一方、第36回総会の細則第17条では事前提出締切日が設けられ、当日の提出が禁止されています。新旧ルールの比較が求められます。"
A-20,A,"第58回総会で「過年次生」の会費が定められた。これは、それ以前の会則（第57回総会改正時点）では、どのような問題があったことを示唆しているか？","過年次生は学友会員になれなかった。","過年次生は無料で会員の権利を享受できていた。","4年以上在学する学生（過年次生）の会員資格や会費に関する明確な規定がなかった。","過年次生の会費が高すぎると問題になっていた。",3,"新たなルールが作られるのは、通常そこにルールがないか、不備がある場合です。4年次までの会費しか規定がなかったため、5年目以降の学生（過年次生）の扱いが不明確だったという問題を解決するためにこの改正がなされたと推論するのが最も妥当です。"
A-21,A,"会計委員長は「各機関の長の承認」をもって任命される。この「各機関の長」に、任命される会計委員長自身は含まれるか？","含まれる。","含まれない。","執行委員長が判断する。","文書からは判断できない。",2,"自身を承認の主体に含めるのは論理的に不自然であり、通常、承認主体と被承認者は別人格です。明記されていませんが、一般的なルール解釈として「含まれない」と判断するのが妥当です。行間を読む能力が問われます。"
A-22,A,"第17回総会議案の補足と第19回総会議案の本文10を比較すると、失効した議案（決議）の扱いについてどのような違いがあるか？","失効させた議案の総会回数が明記されているか否か。","失効の理由が明記されているか否か。","失効のタイミングが「可決により」か「成立した場合」かで異なる。","特に違いはない。",1,"第17回議案では「第7回総会」「第16回総会」と具体的な回数が記されていますが、第19回議案では「第9回総会」と具体的な回数が記されています。これは違いではありません。設問が不適切でした。正しいAレベルの問題に差し替えます。【新問題】サークル代表者会議の議決は「1サークル1票」だが、総会の議決は委任状を含めると1人が複数票を持つことがある。この違いは何を優先している結果か？【選択肢】1. 総会では個人の意思、代表者会議では団体の意思を重視。 2. 総会は参加しやすさ、代表者会議は厳格さを重視。 3. 総会は多数決、代表者会議は全会一致を理想としている。 4. 特に理由はない。【正解】1。総会は「学友会員」個人の集まりなので個人の票が基本、代表者会議は「サークル」という団体の集まりなので団体の票が基本、という組織の性質の違いを反映したルールだと解釈できます。"
A-23,A,"耐久消費財を「紛失」した場合と、「使途不明金」が発生した場合の処理を比較したとき、共通する手続きは何か？","どちらもまず会計委員長に報告する。","どちらも最終的に総会で報告する必要がある。","どちらも担当者が補填する義務を負う。","どちらも警察に届け出る必要がある。",2,"耐久消費財の紛失は総会での報告義務があり（第42回総会議案7-3）、使途不明金も総会での報告義務があります（第20回総会議案6）。これが両者に共通する手続きです。"
S-1,S,"総会の決議において、出席会員100名（うち議長団3名）、賛成50票、反対47票、個人委任状による票なし、議長委任状が30票あった場合、この議案の扱いはどうなるか？","賛成80、反対47で可決される。","賛成50、反対77で否決される。","場内票が同数でないため、議長委任状は加算されず、賛成50、反対47で可決される。","議長団の3票は議長委任状として扱われ、賛成53、反対47で可決される。",1,"まず、議長団の3名は場内票を投じません（議長団の義務）。場内票は賛成50、反対47で、多数意見は「賛成」。議長委任状30票は多数意見側に加算されるため、賛成票は50+30=80票となります。よって賛成80、反対47で可決。総会に関する細則第7条、第12条の複雑なルールを総合的に理解・適用する必要があります。"
S-2,S,"ある機関が至急の要件で耐久消費財を購入しようとしたが、会計委員長と連絡が取れなかった。この時、執行委員長の承認を得て購入することが認められていない機関はどれか？","新入生歓迎実行委員会","調布祭実行委員会","執行委員会","群青編集委員会",3,"第42回総会議案の4に「ただし、執行委員会に関してはこれを認めない」という極めて限定的な例外規定があります。これは「執行委員会自身」が緊急時に自己の承認で（会計委員長を飛ばして）購入することを禁じるものです。この細かい「ただし書き」を見つけ出し、意味を正確に解釈しないと解けません。"
S-3,S,"学友会公認サークルAは、部員数が4名になった。しかし、その4名は全員が熱心な学友会員である。一方、公認サークルBは部員数が10名いるが、学友会員は4名のみである。この2つのサークルの扱いとして、最も適切な記述はどれか？","AもBも準公認格下げの対象となる。","Aは例外規定により格下げ対象外だが、Bは格下げ対象となる。","Aは格下げ対象だが、Bは部員数が多いため対象外となる。","AもBも格下げの対象とはならない。",2,"サークルに関する細則第5条の2の「学友会員が5人以上在籍していない場合」という本則と、「構成員が5人未満のサークルの場合、その構成員全員が学友会員だった場合に限り、これに当てはまらない」というただし書きを、2つの異なるケースに正確に適用する必要があります。Aはただし書きに救済され、Bは本則に抵触します。"
S-4,S,"第17回総会議案の決議により、前年度の資金運営に対する責任は「本年度決算が総会で承認された時点」で免除される。しかし、この免除が適用されないのはどのような問題か？","本年度決算承認後に新たに発覚した問題","本年度決算可決より以前に明らかになっていた問題","会計監査で見逃されていた軽微な問題","過去の決算報告の修正によって明らかになった問題",2,"第17回総会議案の本文4の原則とただし書きの関係を深く理解する必要があります。「本年度決算可決より以前に明らかになった問題に対しては、継続して責任追及を行える」という部分が鍵です。免責のタイミングとその例外条件を問う難問です。"
S-5,S,"耐久消費財のガイドライン変更に関する手続きとして正しいものはどれか？","総会の決議によって変更できる。","会計委員長と執行委員長の合意によって変更できる。","各機関長または代理人全員の承認があれば変更できる。","ガイドラインは一度定めると変更できない。",3,"第42回総会議案の10という、非常に末尾にある条文の内容です。「各機関長又は機関長の指名した代理人による議論の上、機関長又は代理人全員の承認があれば、変更することができる」という、総会決議や役員の承認とは異なる特殊な手続きを問うています。"
S-6,S,"執行委員長、会計委員長、その他の機関の長の任命方法には、それぞれ異なるプロセスが定められている。この違いが示す組織設計上の意図として、最も考えられることは何か？","各機関の独立性を尊重しつつ、執行部と会計の権限を明確に分離し、牽制させるため。","手続きを複雑にすることで、安易な役員交代を防ぐため。","総会の負担を軽減するために、一部の役員の任命権を執行部に委譲するため。","歴史的な経緯でそうなっているだけで、特に深い意図はない。",1,"執行委員長（総会任命）、会計委員長（執行委員長指名・各機関長承認）、その他機関長（互選・執行委員長任命）という3つの異なるプロセスから、権力の集中を防ぎ、各機関の自治と相互牽制を意図した設計思想を読み解く必要があります。文書に書かれていない「意図」を推論する問題です。"
S-7,S,"あるサークルが援助金で購入した物品が、後に「耐久消費財」として登録された。この物品が1年以内に故障した場合、修理費はどこから支出されるのが最も適切か？","当該サークルの次年度援助金から支出する。","会計委員長の承認のもと、予備費から支出する。","当該サークルの部員が自費で修理する。","修理は認められない。",2,"サークル援助金で購入された物品も、学友会の所有物（備品）であり、耐久消費財の定義に合致すればその管理規則に従うと解釈するのが妥当です。したがって、第42回総会議案のルールに基づき、予備費からの支出が適切となります。複数の制度をまたぐケースを想定する問題です。"
S-8,S,"総会の審議の優先順位は「i.学友会全体」「ii.予算及び決算」「iii.サークル承認」と定められている。では、「サークルに関する細則」の改正案は、どのカテゴリーに分類され、審議される可能性が最も高いか？","i. 学友会全体に関する議案","ii. 学友会の予算及び決算に関する議案","iii. サークルの承認及び取り消しに関する議案","上記のいずれにも該当しないため、最後になる。",1,"サークルに関する細則は、個別のサークル承認（iii）とは異なり、全サークル、ひいては学友会全体の運営に関わるルールであるため、「学友会全体に関する議案」(i)と解釈するのが最も論理的です。ルールの抽象度を判断する能力が問われます。"
S-9,S,"学友会員が休学申請を行い権利を延長した場合、その会員は休学期間中に開催される総会において、どのような扱いを受けると考えられるか？","通常通り議決権を持つ。","議決権は持たないが、審議に参加することはできる。","学友会員としての権利を失効しているため、議決権も審議権も持たない。","議長委任状を提出することのみ可能である。",3,"学友会員の権利における細則第1条に「休学期間中の学友会員としての権利を失効するかわりに」と明記されています。したがって、総会での諸権利（議決権、審議権など）も失効すると解釈するのが自然です。制度の根本的な意味を問うています。"
S-10,S,"第23回総会で第1回から第7回までの多くの議案が失効したにも関わらず、第17回総会の議案では第7回総会の決議を失効させている。この事実から何が推測できるか？","第23回総会の決定は、それ以前の決定を遡って無効にするものではない。","第17回総会の議案は、第23回総会の決定よりも優先される。","第23回総会の決定には例外があり、第7回総会の当該決議は失効していなかった。","学友会の議事録管理に矛盾がある。",3,"第23回総会の議案では、「予算･決算･サークル公認･取消に関するもの」は有効決議録を作成しなくてもよいが、「失効」とは明記されていません。「その他の議案」が失効対象です。したがって、第7回総会の「学友会決算報告の承認に関する決議」は「決算に関するもの」として失効を免れていたと推論できます。非常に細かい条文の読解が必要です。"
S-11,S,"「総会の有効決議録は、その決議が総会において削除されない限り保管しなければならない」と定められている。これは実質的に何を意味しているか？","全ての決議は永久に保管される。","一度決議されると、その内容は絶対に変更できない。","決議の効力を失わせるためには、単に新しいルールを作るだけでなく、古い決議を「削除する」という手続きが別途必要である。","有効決議録の破棄には、総会の特別な許可が必要である。",3,"「削除されない限り」という文言の法的な意味を問う問題です。これは、現行のルールブック（有効決議録）を整備するためには、不要になったルールを無効化・失効させるだけでなく、「削除する」という能動的な議決が必要であることを示唆しています。ルールのライフサイクル管理に関する深い理解が求められます。"
S-12,S,"使途不明金の処理において、「役員またはその他の人間の補填による処理は一切行なわない」という原則と、「報告及び、改善に関する話し合いを怠った機関には、補填を求めるものとする」という例外規定がある。この2つの条文の論理的な関係は？","前者は原則、後者は罰則としての例外である。","前者は故意の場合、後者は過失の場合に適用される。","前者は役員個人、後者は機関全体に対する規定である。","両者は矛盾しており、どちらかが優先されるべきである。",1,"「原則として補填はさせない（原因究明を優先）」が、その原因究明のプロセス自体を怠った場合には「罰則として補填を求める」という関係性を読み解く必要があります。原則と、その原則を守らせるための罰則規定という構造を理解できるかが鍵です。"
S-13,S,"「次年度繰越額」の計算式は「前年度繰越額＋総収入額－総支出額」である。一方、予算編成時には「総収入額＝総支出額＋総内部留保額」でなければならない。この2つの等式から、会計年度末の「次年度繰越額」は何と等しくなると理論上考えられるか？","前年度繰越額 ＋ 総内部留保額","総収入額 － 内部留保額","前年度繰越額のみ","常にゼロになる",1,"予算編成時の等式を「総収入額－総支出額＝総内部留保額」と変形し、これを決算の計算式に代入すると、「次年度繰越額＝前年度繰越額＋総内部留保額」となります。会計ルールの組み合わせから論理的に答えを導き出す、数学的な思考を要する問題です。"
S-14,S,"サークル代表者会議の議決は「出席サークル数の過半数で可決される」。一方、総会の定足数は「会員の十分の一以上」で、議決は原則として出席者の過半数である。この違いは何を示唆しているか？","サークル代表者会議は、総会よりも厳格な意思決定を求めている。","サークル代表者会議の議決は、欠席サークルが多いと成立しにくい構造になっている。","総会は委任状があるため、実質的な参加者が出席者数よりも多くなることを想定している。","サークル代表者会議では、各サークルの意見が平等に重く扱われるべきだという思想がある。",2,"総会の議決は「出席者」の過半数ですが、サークル代表者会議は「出席サークル数」の過半数であり、定足数も「招集されたサークル代表者の三分の二」と厳しめです。これは、多くのサークルの合意形成を重視する姿勢を示しており、欠席が多いと議決そのものが難しくなることを意味します。組織の性格の違いをルールから読み解く問題です。"
